"","DISTRICT","UPAZILLA","UNION","MOUZA","RL","LATITUDE","LONGITUDE","GWL04","GWL05","GWL06","GWL07","GWL08","GWL09","GWL10","GWL11","GWL12","GWL13","GWL14","GWL15","GWL16","GWL17","GWL18","Type","Median","Aspect","Curvature","Drainage_density","Elevation","Distance_from_stream","lithology","Plan_curvature","Profile_curvature","Slope","SPI","STI","TWI","TRI","SoilSy","FID"
"4950","Sunamganj","Chatak","Khurma(N)",NA,NA,24.922,91.672,NA,NA,5.4864,NA,5.4864,5.7912,5.7912,4.2672,NA,NA,NA,NA,NA,NA,NA,"DPHE",5.4864,-1,0,0.124903,11,2015.37,16,0,0,0,3.67045954554978,0.380855771403844,12.3238556811866,14.2478,0.0258541,5414
"4951","Naogaon","Badalgachhi","Balubhara","Dhekra",20.4022,24.92443,88.89883,8.07,NA,NA,NA,NA,NA,9.16,9.77,9.6,9.91,NA,NA,NA,9.15757,NA,"BADC",9.38,-1,0,0.14996,20,3210,3,0,0,0,5.1055440708391,0.900969554171955,13.7589402064759,12.9615,0.0752828,5415
"4952","Sherpur","Sherpur","Pakuria",NA,NA,24.925,90.1,NA,NA,NA,NA,5.220255,5.94029,NA,NA,5.748528,5.4864,5.1816,NA,NA,4.8768,5.248656,"DPHE",5.248656,206.565,0.216315,0.105786,22,403.609,6,0.0540788,-0.162236,1.05324,2.89687822657021,1.32572762859029,6.65981939105287,16.5227,0.108287,5416
"4953","Netrakona","Netrokona Sadar","Thakurakona","Tatiar",13.05,24.92583,90.80502,13.05,NA,NA,NA,NA,NA,12.95,13.23,15.17,16.02,NA,NA,NA,15.11,NA,"BADC",14.17,-1,0,0.11198,11,5983.48,5,0,0,0,3.22417244292136,0.291385895233223,11.8775685785581,4.79583,0.042552,5417
"4954","Sylhet","Zakiganj","Khas Kanakpur","Kaista Kapan",15.7693,24.92652,92.44482,3.4,NA,NA,NA,NA,NA,2.81,3.1,3.35,3.6,NA,NA,NA,4.41407,NA,"BADC",3.375,225,-0.108158,0.00798126,20,10503.5,7,0.043263,0.151421,1.9978,8.15894305864289,47.3530001270983,10.724944680891,15.8745,0.0453011,5418
"4955","Sylhet","Zakiganj","Khas Kanakpur","Kaista Kapan",15.7693,24.92652,92.44482,3,NA,NA,NA,NA,NA,2.81,3.1,3.35,3.6,NA,NA,NA,6.08436,NA,"BADC",3.225,225,-0.108158,0.00798126,20,10503.5,7,0.043263,0.151421,1.9978,8.15894305864289,47.3530001270983,10.724944680891,15.8745,0.0453011,5419
"4956","Sylhet","Zakiganj","Khas Kanakpur","Kaista Kapan",15.7693,24.92652,92.44482,3.08,NA,NA,NA,NA,NA,2.81,3.1,3.35,3.6,NA,NA,NA,5.24,NA,"BADC",3.225,225,-0.108158,0.00798126,20,10503.5,7,0.043263,0.151421,1.9978,8.15894305864289,47.3530001270983,10.724944680891,15.8745,0.0453011,5420
"4957","Mymensingh","Gafargaon","Barbaria",NA,NA,24.927,90.395,NA,7.3152,NA,NA,15.5448,17.6784,NA,17.6784,NA,NA,NA,NA,NA,22.5552,NA,"DPHE",17.6784,-1,0,0.113769,14,5796.29,6,0,0,0,1.55019600934969,0.106725768032964,10.2035921449865,11.3137,0.0737481,5421
"4958","Naogaon","Niamatpur","Bahadurpur",NA,NA,24.929,88.62,NA,NA,NA,NA,14.320699,14.930729,NA,NA,NA,18.288,18.5928,NA,NA,NA,NA,"DPHE",16.609364,-1,0,0.0535731,22,2502.26,3,0,0,0,4.3834093534059,0.584169181617503,13.0368054890427,15.6525,0.0482728,5422
"4959","Netrakona","Dhubaura","Singdha",NA,NA,24.929,90.864,NA,NA,NA,NA,NA,14.9352,NA,NA,12.902184,13.716,NA,NA,NA,NA,NA,"DPHE",13.716,288.435,0.324473,0.112334,15,5793.81,16,0.216315,-0.108158,0.744795,2.58557898366184,0.884612559480236,6.97105604793257,13.7477,0.038121,5423
"4960","Jamalpur","Melandaha","Char Banipakuri","Shihuri",17.48,24.92933,89.87929,5.92,NA,NA,NA,NA,NA,6.15,6.44,5.6,5.17,NA,NA,NA,5.69449,NA,"BADC",5.807245,45,0.43263,0.101459,23,6035.67,6,0,0,0.999202,2.84887495497182,1.24555512317368,6.70781030133492,14.6629,0.112395,5424
"4961",NA,NA,NA,"RJ048",NA,24.93,88.41,12.855,15.935,18.3,17.43,19.21,21.095,23.6,22.385,28.52,27.255,29.45,25.6,30.02,33.56,28.8,"BWDB",23.6,63.4349,-0.108158,0.0290344,23,2130.21,3,0,0.108158,1.05324,5.29477349936858,5.58843132444664,9.05771466385124,15.6525,0.0496428,5425
"4962",NA,NA,NA,"RJS38",NA,24.93,88.58,NA,NA,13.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.86,18.525,NA,"BWDB",18.525,198.435,-0.108158,0.0665299,23,4151.94,3,0,0.108158,0.744795,7.16028996216522,13.766265512873,11.545767026436,12.1244,0.0415754,5426
"4963",NA,NA,NA,"RJ059",NA,24.93,88.54,NA,9.265,9.63,NA,NA,12.115,NA,11.74,12.16,NA,NA,13.52,14.6,NA,NA,"BWDB",12.115,45,0,0.0678939,27,7810.21,3,0.0270394,0.0270394,1.66504,5.62524264596487,9.17674026282893,8.53680650330038,16.8819,0.037628,5427
"4964",NA,NA,NA,"RJ057",NA,24.93,88.77,9.285,9.285,9.76,9.66,9.69,10.085,10.29,10.46,10.61,10.63,10.67,10.975,10.91,NA,11.09,"BWDB",10.375,180,0,0.104591,20,697.782,3,0,0,1.41294,3.86160221618905,2.85967991109157,7.08148716617633,12.9615,0.0664275,5428
"4965","Naogaon","Badalgachi","Adhaipur",NA,NA,24.93,88.91,NA,6.7056,NA,NA,NA,11.5824,NA,NA,9.2202,NA,9.4488,NA,NA,8.8392,NA,"DPHE",9.2202,233.13,0,0.151076,22,4376.4,6,0.108158,0.108158,2.35405,3.65251928655222,3.53730589984228,5.90465504234503,15.8745,0.0674577,5429
"4966","Bogra","Dhupchanchia","Zianagar","Zianagar",16.2762,24.93,89.10544,8.53,NA,NA,NA,NA,NA,8.77,9.16,9.08,9.18,NA,NA,NA,11.5027,NA,"BADC",9.12,60.9454,0.216315,0.123727,22,6107.71,3,0.0919339,-0.124381,2.42357,3.68048929923199,3.66804142632519,5.87672019765982,16.2481,0.0210798,5430
