"","FID","actual","predicted"
"499",1201,2,1
"500",910,1,2
"501",2021,1,2
"502",2694,2,1
"503",2699,1,2
"504",860,1,2
"505",2416,2,1
"506",2770,2,1
"507",2452,2,1
"508",124,1,2
"509",1777,2,1
"510",1204,2,1
"511",340,1,2
"512",3449,1,2
"513",1718,1,2
"514",22,1,2
"515",3256,1,2
"516",3514,1,2
"517",749,2,1
"518",18,1,2
"519",1374,2,1
"520",2997,1,2
"521",2451,2,1
"522",1591,1,2
"523",484,2,1
"524",1034,2,1
"525",560,2,1
"526",2028,1,2
"527",2786,1,2
"528",2181,1,2
"529",2605,1,2
"530",1320,1,2
"531",2458,2,1
"532",306,1,2
"533",569,2,1
"534",3103,1,2
"535",786,1,2
"536",2466,2,1
"537",535,1,2
"538",2723,2,1
"539",1674,2,1
"540",633,2,1
"541",1592,1,2
"542",3066,1,2
"543",2627,1,2
"544",1958,1,2
"545",1799,2,1
"546",558,1,2
"547",3448,1,2
"548",2115,2,1
"549",2731,2,1
"550",3268,1,2
"551",840,1,2
"552",245,1,2
"553",271,1,2
"554",893,1,2
"555",2534,1,2
"556",1317,1,2
"557",649,2,1
"558",329,1,2
"559",2482,2,1
"560",2440,2,1
"561",2930,2,1
"562",1755,1,2
"563",1286,1,2
"564",2253,1,2
"565",2525,1,2
"566",833,1,2
"567",2156,1,2
"568",320,1,2
"569",693,2,1
"570",2867,1,2
"571",1513,1,2
"572",2441,2,1
"573",2234,1,2
"574",2958,1,2
"575",606,1,2
"576",3577,2,1
"577",3237,2,1
"578",2792,1,2
"579",3295,1,2
"580",3492,1,2
"581",311,1,2
"582",672,2,1
"583",3230,1,2
"584",478,2,1
"585",1328,1,2
"586",2524,2,1
"587",3326,1,2
"588",2577,2,1
"589",1644,1,2
"590",1316,1,2
"591",1843,2,1
"592",3336,1,2
"593",1872,2,1
"594",549,2,1
"595",1676,1,2
"596",2875,2,1
"597",25,1,2
"598",2401,1,2
"599",413,1,2
"600",367,1,2
"601",2017,1,2
"602",1358,1,2
"603",3263,2,1
"604",1666,1,2
"605",573,2,1
"606",745,1,2
"607",812,1,2
"608",2813,2,1
"609",2610,2,1
"610",1184,1,2
"611",292,1,2
"612",1477,1,2
"613",3207,1,2
"614",1875,1,2
"615",3399,1,2
"616",651,1,2
"617",1703,1,2
"618",698,2,1
"619",3254,1,2
"620",596,2,1
"621",2586,1,2
"622",2576,2,1
"623",3155,2,1
"624",1590,1,2
"625",1700,1,2
"626",3251,1,2
"627",2708,2,1
"628",2050,1,2
"629",267,1,2
"630",717,2,1
"631",2775,2,1
"632",2483,2,1
"633",2679,2,1
"634",1699,1,2
"635",2468,2,1
"636",738,2,1
"637",1239,2,1
"638",3226,1,2
"639",3005,1,2
"640",660,1,2
"641",1593,1,2
"642",2696,2,1
"643",2031,2,1
"644",1624,1,2
"645",3244,1,2
"646",572,2,1
"647",161,1,2
"648",644,2,1
"649",3457,1,2
"650",1562,1,2
"651",770,2,1
"652",3228,1,2
"653",1158,2,1
"654",2474,2,1
"655",1450,2,1
"656",593,2,1
"657",1782,1,2
"658",185,1,2
"659",3122,1,2
"660",1586,1,2
"661",1579,1,2
"662",3169,2,1
"663",825,1,2
"664",907,1,2
"665",208,1,2
"666",482,1,2
"667",105,2,1
"668",1940,1,2
"669",2712,2,1
"670",768,1,2
"671",1529,1,2
"672",2455,2,1
"673",2144,1,2
"674",3000,1,2
"675",1767,2,1
"676",1580,1,2
"677",400,2,1
"678",2603,2,1
"679",3210,1,2
"680",2688,1,2
"681",333,1,2
"682",675,1,2
"683",3535,1,2
"684",1724,2,1
"685",2995,1,2
"686",3285,1,2
"687",2799,2,1
"688",415,1,2
"689",422,2,1
"690",1982,1,2
"691",2675,2,1
"692",3548,1,2
"693",2729,2,1
"694",85,2,1
"695",2765,1,2
"696",3543,1,2
"697",2848,1,2
"698",1280,1,2
"699",1811,2,1
"700",2266,1,2
"701",3532,1,2
"702",1970,1,2
"703",1686,1,2
"704",370,1,2
"705",1309,1,2
"706",2435,2,1
"707",2349,1,2
"708",852,1,2
"709",3266,1,2
"710",319,1,2
"711",3153,1,2
"712",678,1,2
"713",2453,2,1
"714",1329,1,2
"715",2062,2,1
"716",2768,2,1
"717",3439,1,2
"718",1867,2,1
"719",2877,1,2
"720",2100,1,2
"721",68,1,2
"722",1653,1,2
"723",2565,2,1
"724",1627,1,2
"725",599,2,1
"726",305,1,2
"727",767,1,2
"728",42,1,2
"729",1688,1,2
"730",3324,1,2
"731",592,2,1
"732",3441,1,2
"733",3474,2,1
"734",800,1,2
"735",3190,2,1
"736",1698,1,2
"737",1896,1,2
"738",3473,2,1
"739",1682,1,2
"740",1373,1,2
"741",3161,1,2
"742",388,1,2
"743",630,2,1
"744",1299,1,2
"745",3253,1,2
"746",3496,1,2
"747",2199,1,2
"748",3299,1,2
"749",2454,2,1
"750",309,1,2
"751",3464,2,1
"752",686,1,2
"753",1804,2,1
"754",3573,1,2
"755",2230,2,1
"756",2198,2,1
"757",362,1,2
"758",2090,1,2
"759",769,2,1
"760",559,1,2
"761",1389,1,2
"762",304,1,2
"763",2046,2,1
"764",2528,2,1
"765",425,2,1
"766",212,1,2
"767",2196,1,2
"768",603,2,1
"769",3420,1,2
"770",564,2,1
"771",3549,1,2
"772",2959,1,2
"773",2480,1,2
"774",323,1,2
"775",1818,1,2
"776",1630,1,2
"777",402,1,2
"778",533,2,1
"779",799,1,2
"780",2854,1,2
"781",2579,2,1
"782",359,1,2
"783",2947,1,2
"784",1849,2,1
"785",495,1,2
"786",46,1,2
"787",805,1,2
"788",817,1,2
"789",1308,1,2
"790",2609,2,1
"791",3239,1,2
"792",1677,1,2
"793",3510,1,2
"794",723,2,1
"795",2471,2,1
"796",1695,1,2
"797",2856,1,2
"798",204,1,2
"799",2041,1,2
"800",404,2,1
"801",3454,1,2
"802",300,1,2
"803",1353,1,2
"804",3023,1,2
"805",1985,1,2
"806",3466,1,2
"807",3508,1,2
"808",2677,2,1
"809",1671,1,2
"810",1679,1,2
"811",2948,2,1
"812",1758,1,2
"813",565,1,2
"814",1950,1,2
"815",908,1,2
"816",3515,1,2
"817",2011,1,2
"818",3517,1,2
"819",1632,1,2
"820",2065,1,2
"821",2753,2,1
"822",1224,1,2
"823",49,1,2
"824",845,1,2
"825",2589,2,1
"826",1622,1,2
"827",1323,1,2
"828",1744,1,2
"829",3265,1,2
"830",716,2,1
"831",52,1,2
"832",2178,2,1
"833",556,2,1
"834",2915,1,2
"835",1968,1,2
"836",3168,2,1
"837",21,1,2
"838",2909,1,2
"839",708,2,1
"840",2722,2,1
"841",2193,1,2
"842",1951,1,2
"843",3255,1,2
"844",384,1,2
"845",1663,1,2
"846",374,1,2
"847",127,1,2
"848",512,2,1
"849",1641,1,2
"850",3006,1,2
"851",3090,2,1
"852",3518,1,2
"853",297,1,2
"854",3124,1,2
"855",1754,2,1
