"Bore","Latitude","Longitude","Total_Dept","Elevation","Aspect","Curvature","Drainage_density","Distance_from_stream","Lithology","Plan_curvature","Profile_curvature","Slope_degree","Sy","TRI","SPI1","STI1","TWI1","response6","response4"
2871,22.60258,88.96474,201.16,5,-1,0,0.0216978,10103.6,9,0,0,0,0.0298083,3.31662,6.58327884182229,34.169436696928,7.37037880093025,"1","1"
2872,22.60804,88.97145,335.263639,5,-1,0,0.0223574,9337.91,9,0,0,0,0.0298083,0,8.23620186619613,92.1193846729069,9.02330182530409,"1","1"
2873,22.5587,88.96759,186,10,173.66,-0.108158,0.0230324,11297.3,10,0,0.108158,2.1319,0.0301865,12,5.77028417470209,33.5201223118592,5.18300652003704,"1","1"
2874,22.58689,88.96126,167.64,5,-1,0,0.021708,10748.3,9,0,0,0,0.0299635,0,8.29807726991422,95.6036154192841,9.08517722902218,"1","1"
2875,22.64799,89.01678,289.56,4,8.1301,0,0.045888,4200,10,0,0,1.66504,0.0294393,6.32456,4.1668636872676,6.88864681051769,5.39140778961405,"1","1"
2876,22.65975,89.07022,210,3,-1,0,0.0789444,1290,5,0,0,0,0.0291852,7.4162,5.27284072909616,11.0084844945898,7.0572870129531,"1","1"
2877,22.59602,89.10416,259.067358,3,206.565,-0.108158,0.0857882,1615.55,10,0,0.108158,1.05324,0.0294956,8.48528,5.83245651703158,15.4010511862428,7.61690280088852,"1","1"
2878,22.63126,89.01513,144,3,315,-0.324473,0.0442281,4669.99,10,-0.129789,0.194684,1.33216,0.0294869,5.19615,6.08377094531249,17.9075860170754,7.86821722916943,"1","1"
2879,22.60932,89.07482,246,3,-1,0,0.0818067,870,5,0,0,0,0.0293614,4,6.08377094531249,17.9075860170754,7.86821722916943,"1","1"
2880,22.61865,89.05803,273,3,-1,0,0.0784689,465.725,5,0,0,0,0.0295413,6.32456,5.83245651703158,15.4010511862428,7.61690280088852,"1","1"
2881,22.62947,89.06225,210,3,-1,0,0.0785126,150,5,0,0,0,0.0293649,0,9.69468885795671,156.299676938337,11.4791351418137,"1","1"
2882,22.6412,89.02983,259.067358,3,18.4349,-0.108158,0.0585451,2900.71,10,0,0.108158,0.744795,0.0294957,6.32456,6.71975971203249,26.2277414072572,8.50420599588943,"1","1"
2883,22.62892,89.07872,259.676928,3,-1,0,0.0828305,1860,10,0,0,0,0.0292473,0,8.06093363787191,58.6461564009405,9.84537992172885,"1","1"
2884,22.63455,89.049,335.263639,3,-1,0,0.0716849,1200,10,0,0,0,0.0295028,0,7.28774374963843,36.8777395765275,9.07219003349537,"1","1"
2885,22.57341,89.01953,240,3,-1,0,0.0391409,5971.81,10,0,0,0,0.0298457,0,7.41290689259243,39.7538221531305,9.19735317644937,"1","1"
2886,22.57821,89.01251,246,3,-1,0,0.0371905,6215.5,10,0,0,0,0.029941,8.48528,7.10542219284447,33.0563992688939,8.88986847670141,"1","1"
2887,22.56888,89.00826,204.21,4,206.565,-0.108158,0.0357336,7177.97,10,0,0.108158,1.05324,0.0299796,9.53939,7.60085089175275,54.0693233711661,8.8253949940992,"1","1"
2888,22.57354,89.00983,335.263639,9,171.87,0.216315,0.0363647,6751.67,10,0,-0.216315,1.66504,0.029941,11.6189,4.97090051325742,19.3363722671255,4.59412034980151,"1","1"
2889,22.53211,88.98492,335.26,5,-1,0,0.0211751,11658,10,0,0,0,0.0300065,9.79796,5.07920144504602,13.8583112459921,5.86630140415398,"1","1"
2890,22.5466,89.01174,270,7,203.199,-0.108158,0.0362391,8532.88,10,-0.108158,0,1.79322,0.0300363,8.66025,5.81801187856551,27.1306222773594,5.94091226794515,"1","1"
2891,22.63369,88.95529,188,9,15.2551,-0.540788,0.0185862,10559.7,9,-0.216315,0.324473,2.68358,0.0296968,11.5326,6.06951280192553,37.3807276809235,5.69273263846962,"1","1"
2892,22.62543,88.9631,178.31,5,-1,0,0.0200126,9970.3,9,0,0,0,0.0297264,7.48331,6.58327884182229,34.169436696928,7.37037880093025,"1","1"
2893,22.63153,88.96385,259,5,-1,0,0.0197534,9785.15,9,0,0,0,0.0296858,6.245,8.37503831105035,100.121781716704,9.16213827015831,"1","1"
2894,22.60556,89.04471,300,3,-1,0,0.0676193,1906.83,10,0,0,0,0.0297095,0,5.67830583720433,14.040490839159,7.46275212106127,"1","1"
2895,22.59372,89.02934,250,3,-1,0,0.0423753,3850.53,10,0,0,0,0.0297458,9.53939,5.49598428041037,12.5855889335989,7.28043056426731,"1","1"
2896,22.56839,89.07029,168,4,270,0,0.0778191,2448.26,5,0,0,1.41294,0.0298161,5.19615,4.1668636872676,6.88864681051769,5.39140778961405,"1","1"
2897,22.62612,89.00083,164,4,206.565,-0.216315,0.0275153,6150,9,-0.108158,0.108158,1.05324,0.0296213,6.32456,5.26547597593571,13.3170083279692,6.49002007828216,"1","1"
